document_id,source_type,institution,author,year,title,priority,download_status,quality_assessment,extraction_status,notes
"ansmann_markus_ucsb_2009","phd_thesis","UC Santa Barbara","Ansmann, Markus","2009","Benchmarking the Superconducting Josephson Phase Qubit - The Violation of Bell's Inequality","high","succeeded","high_value","not_started","Thesis collection wave 1"
"bal_2024_npjq_nb_surface_encapsulation","journal_article","","Bal, Mustafa","2024","Systematic Improvements in Transmon Qubit Coherence Enabled by Niobium Surface Encapsulation","high","succeeded","high_value","not_started","Wave 1 paper collection"
"barends_2013_prl_xmon","journal_article","","Barends, R.","2013","Coherent Josephson Qubit Suitable for Scalable Quantum Integrated Circuits","high","succeeded","high_value","not_started","Wave 2 seminal paper collection"
"bialczak_radoslaw_ucsb_2011","phd_thesis","UC Santa Barbara","Bialczak, Radoslaw","2011","Development of The Fundamental Components of A Superconducting Qubit Quantum Computer","high","succeeded","high_value","not_started","Thesis collection wave 1"
"bu_2024_npjqi_tantalum_airbridges","journal_article","Alibaba Quantum Laboratory","Bu, Kunliang","2024","Tantalum airbridges for scalable superconducting quantum processors","high","succeeded","high_value","not_started","Wave 2 recent fabrication paper"
"chen_zijun_ucsb_2018","phd_thesis","UC Santa Barbara","Chen, Zijun","2018","Metrology of Quantum Control and Measurement in Superconducting Qubits","high","succeeded","high_value","not_started","Thesis collection wave 1"
"devoret_2013_science_sc_circuits_outlook","journal_article","","Devoret, M. H.","2013","Superconducting Circuits for Quantum Information: An Outlook","high","succeeded","high_value","not_started","Wave 2 seminal paper collection"
"dickel_christian_delft_2018","phd_thesis","TU Delft","Dickel, Christian","2018","Scalability and modularity for transmon-based quantum processors","high","succeeded","high_value","not_started","Thesis collection wave 1"
"dunsworth_2017_apl_capacitive_loss_jj_fabrication","journal_article","University of California, Santa Barbara","Dunsworth, A.","2017","Characterization and Reduction of Capacitive Loss Induced by Sub-Micron Josephson Junction Fabrication in Superconducting Qubits","high","succeeded","high_value","not_started","Wave 2 recent fabrication paper"
"eichler_christopher_eth_2013","phd_thesis","ETH Zurich","Eichler, Christopher","2013","Experimental Characterization of Quantum Microwave Radiation and its Entanglement with a Superconducting Qubit","high","succeeded","high_value","not_started","Thesis collection wave 1"
"ganjam_2024_ncomms_millisecond_coherence_tantalum","journal_article","Yale University","Ganjam, Suhas","2024","Surpassing millisecond coherence times in on-chip superconducting quantum memories by optimizing materials, processes, and circuit design","high","succeeded","high_value","not_started","Wave 2 recent fabrication paper"
"houck_2008_prl_controlling_spontaneous_emission_transmon","journal_article","","Houck, A. A.","2008","Controlling the spontaneous emission of a superconducting transmon qubit","high","succeeded","high_value","not_started","Wave 1 paper collection"
"houck_2009_qip_life_after_charge_noise_transmon","journal_article","","Houck, A. A.","2009","Life after charge noise: recent results with transmon qubits","high","succeeded","high_value","not_started","Wave 1 paper collection"
"karamlou_amir_mit_2023","phd_thesis","MIT","Karamlou, Amir","2023","Quantum Simulation of Many-body Systems with Superconducting Qubits","high","succeeded","high_value","not_started","Thesis collection wave 1"
"kelly_julian_ucsb_2015","phd_thesis","UC Santa Barbara","Kelly, Julian","2015","Fault-tolerant superconducting qubits","high","succeeded","high_value","not_started","Thesis collection wave 1"
"kim_junghyun_mit_2025","phd_thesis","MIT","Kim, Junghyun","2025","Design and Engineering of Protected Superconducting Qubits","high","succeeded","high_value","not_started","Thesis collection wave 1"
"kjaergaard_2020_annrev_scqubits_review","review_paper","","Kjaergaard, Morten","2020","Superconducting Qubits: Current State of Play","high","succeeded","high_value","not_started","Wave 1 paper collection"
"koch_2007_charge_insensitive_qubit_design","journal_article","","Koch, Jens","2007","Charge insensitive qubit design derived from the Cooper pair box","low","skipped","low_value","not_started","duplicate_of=koch_2007_pra_transmon; same SHA256 PDF and same arXiv id base; superseded alias id"
"koch_2007_pra_transmon","journal_article","","Koch, Jens","2007","Charge-insensitive qubit design derived from the Cooper pair box","high","succeeded","high_value","not_started","Wave 2 seminal paper collection"
"krantz_2019_apr_quantum_engineers_guide","review_paper","","Krantz, Philip","2019","A Quantum Engineer's Guide to Superconducting Qubits","high","succeeded","high_value","not_started","Wave 1 paper collection"
"kreikebaum_john_berkeley_2020","phd_thesis","UC Berkeley","Kreikebaum, John Mark","2020","Superconducting Qubit Enabled Single Microwave Photon Detection","high","succeeded","high_value","not_started","Thesis collection wave 1"
"lee_2022_review_sc_qubit_devices_integration","review_paper","","Lee, J.","2022","Review of Superconducting Qubit Devices and Their Large-Scale Integration","medium","succeeded","medium_value","not_started","Wave 1 paper collection"
"lienhard_benjamin_mit_2021","phd_thesis","MIT","Lienhard, Benjamin","2021","Machine Learning Assisted Superconducting Qubit Readout","high","succeeded","high_value","not_started","Thesis collection wave 1"
"lucero_erik_ucsb_2012","phd_thesis","UC Santa Barbara","Lucero, Erik","2012","Computing prime factors using a Josephson phase-qubit architecture: 15=3x5","high","succeeded","high_value","not_started","Thesis collection wave 1"
"manucharyan_2009_fluxonium_charge_offsets","journal_article","","Manucharyan, Vladimir E.","2009","Defying the fine structure constant: single Cooper pair circuit free of charge offsets","low","skipped","low_value","not_started","duplicate_of=manucharyan_2009_science_fluxonium; same arXiv id base (0906.0831), variant naming; superseded alias id"
"manucharyan_2009_science_fluxonium","journal_article","","Manucharyan, Vladimir E.","2009","Fluxonium: Single Cooper-Pair Circuit Free of Charge Offsets","high","succeeded","high_value","not_started","Wave 2 seminal paper collection"
"marques_joao_delft_2024","phd_thesis","TU Delft","Ferreira Marques, J.M.","2024","Quantum error correction with superconducting qubits","high","succeeded","high_value","not_started","Thesis collection wave 1"
