section,name,value
inputs,scale_case,regional_100
inputs,solar_mw,120.0
inputs,wind_mw,80.0
inputs,bess_power_mw,50.0
inputs,bess_energy_mwh,200.0
inputs,facility_mw,100.0
inputs,it_load_fraction,0.8
inputs,utilization,0.78
inputs,pue,1.32
inputs,critical_load_fraction,0.9
inputs,deferrable_load_fraction,0.15
inputs,interruptible_load_fraction,0.05
inputs,solar_capacity_factor,0.28
inputs,wind_capacity_factor,0.38
inputs,bess_round_trip_efficiency,0.89
inputs,bess_usable_depth_of_discharge,0.9
inputs,bess_reserve_fraction,0.1
inputs,grid_import_limit_mw,0.0
inputs,grid_charge_limit_mw,0.0
inputs,allow_grid_charging,False
inputs,outage_start_hour,432
inputs,outage_duration_hours,72
inputs,dispatch_reserve_for_outage,True
inputs,random_seed,7
metrics,hours_simulated,8760
metrics,uptime_fraction,0.665068493150685
metrics,outage_hours,2934.0
metrics,loss_of_load_hours,2934.0
metrics,unserved_energy_mwh,66115.536043611
metrics,renewable_curtailment_mwh,114065.88234477668
metrics,grid_import_mwh,0.0
metrics,battery_charge_mwh,69641.86071641788
metrics,battery_discharge_mwh,62032.783017583315
metrics,battery_equivalent_cycles,329.186609335003
metrics,min_soc_mwh,19.999999999999996
metrics,end_soc_mwh,45.38151046723797
metrics,island_survival_hours,0.0
metrics,solar_generation_mwh,294336.00000000163
metrics,wind_generation_mwh,266303.9999999988
metrics,solar_share_of_served_energy,0.45527785165376905
metrics,wind_share_of_served_energy,0.4034061496422371
metrics,battery_share_of_served_energy,0.14131599870401348
metrics,grid_share_of_served_energy,0.0
metrics,served_energy_mwh,438965.03995638207
metrics,critical_load_mw,57.6576
metrics,nominal_load_mw,82.36800000000002
