geonameid,name,asciiname,state,county,lat,lon,population,feature_code,timezone
5128581,New York City,New York City,NY,,40.71427,-74.00597,8804190,PPL,America/New_York
5368361,Los Angeles,Los Angeles,CA,037,34.05223,-118.24368,3820914,PPLA2,America/Los_Angeles
4887398,Chicago,Chicago,IL,031,41.85003,-87.65005,2664452,PPLA2,America/Chicago
4699066,Houston,Houston,TX,201,29.76328,-95.36327,2314157,PPLA2,America/Chicago
5308655,Phoenix,Phoenix,AZ,013,33.44838,-112.07404,1650070,PPLA,America/Phoenix
4560349,Philadelphia,Philadelphia,PA,101,39.95238,-75.16362,1573916,PPLA2,America/New_York
4726206,San Antonio,San Antonio,TX,029,29.42412,-98.49363,1526656,PPLA2,America/Chicago
5391811,San Diego,San Diego,CA,073,32.71571,-117.16472,1404452,PPLA2,America/Los_Angeles
4684888,Dallas,Dallas,TX,113,32.78306,-96.80667,1326087,PPLA2,America/Chicago
4160021,Jacksonville,Jacksonville,FL,031,30.33218,-81.65565,1009833,PPLA2,America/New_York
5392171,San Jose,San Jose,CA,085,37.33939,-121.89496,997368,PPLA2,America/Los_Angeles
4671654,Austin,Austin,TX,453,30.26715,-97.74306,974447,PPLA,America/Chicago
4509177,Columbus,Columbus,OH,049,39.96118,-82.99879,913175,PPLA,America/New_York
4460243,Charlotte,Charlotte,NC,119,35.22709,-80.84313,911311,PPLA2,America/New_York
4259418,Indianapolis,Indianapolis,IN,097,39.76838,-86.15804,887642,PPLA,America/Indiana/Indianapolis
5809844,Seattle,Seattle,WA,033,47.60621,-122.33207,780995,PPLA2,America/Los_Angeles
5419384,Denver,Denver,CO,031,39.73915,-104.9847,729019,PPLA,America/Denver
4140963,Washington,Washington,DC,001,38.89511,-77.03637,689545,PPLC,America/New_York
4644585,Nashville,Nashville,TN,037,36.16589,-86.78444,689447,PPLA,America/Chicago
4544349,Oklahoma City,Oklahoma City,OK,109,35.46756,-97.51643,681054,PPLA,America/Chicago
5520993,El Paso,El Paso,TX,141,31.75872,-106.48693,678815,PPLA2,America/Denver
4930956,Boston,Boston,MA,025,42.35843,-71.05977,653833,PPLA,America/New_York
5746545,Portland,Portland,OR,051,45.52345,-122.67621,652503,PPLA2,America/Los_Angeles
4990729,Detroit,Detroit,MI,163,42.33143,-83.04575,645705,PPLA2,America/Detroit
5506956,Las Vegas,Las Vegas,NV,003,36.17497,-115.13722,641903,PPLA2,America/Los_Angeles
4645421,New South Memphis,New South Memphis,TN,157,35.08676,-90.05676,641608,PPLX,America/Chicago
4299276,Louisville,Louisville,KY,111,38.25424,-85.75941,624444,PPLA2,America/Kentucky/Louisville
5454711,Albuquerque,Albuquerque,NM,001,35.08449,-106.65114,564559,PPLA2,America/Denver
5263045,Milwaukee,Milwaukee,WI,079,43.0389,-87.90647,563531,PPLA2,America/Chicago
5318313,Tucson,Tucson,AZ,019,32.22174,-110.92648,542629,PPLA2,America/Phoenix
5350937,Fresno,Fresno,CA,019,36.74773,-119.77237,542107,PPLA2,America/Los_Angeles
5389489,Sacramento,Sacramento,CA,067,38.58157,-121.4944,524943,PPLA,America/Los_Angeles
4180439,Atlanta,Atlanta,GA,121,33.749,-84.38798,510823,PPLA,America/New_York
4164138,Miami,Miami,FL,086,25.77427,-80.19366,487014,PPLA2,America/New_York
5074472,Omaha,Omaha,NE,055,41.25626,-95.94043,486051,PPLA2,America/Chicago
4487042,Raleigh,Raleigh,NC,183,35.7721,-78.63861,482295,PPLA,America/New_York
4393217,Kansas City,Kansas City,MO,095,39.09973,-94.57857,475378,PPL,America/Chicago
5417598,Colorado Springs,Colorado Springs,CO,041,38.83388,-104.82136,456568,PPLA2,America/Denver
4791259,Virginia Beach,Virginia Beach,VA,810,36.85293,-75.97799,454808,PPLA2,America/New_York
4174757,Tampa,Tampa,FL,057,27.94752,-82.45843,414547,PPLA2,America/New_York
4553433,Tulsa,Tulsa,OK,143,36.15398,-95.99277,413066,PPLA2,America/Chicago
5037649,Minneapolis,Minneapolis,MN,053,44.97997,-93.26384,410939,PPLA2,America/Chicago
4281730,Wichita,Wichita,KS,173,37.69224,-97.33754,396119,PPLA2,America/Chicago
5325738,Bakersfield,Bakersfield,CA,029,35.37329,-119.01871,373640,PPLA2,America/Los_Angeles
5150529,Cleveland,Cleveland,OH,035,41.4995,-81.69541,365379,PPLA2,America/New_York
4335045,New Orleans,New Orleans,LA,071,29.95465,-90.07507,362701,PPLA2,America/Chicago
4167147,Orlando,Orlando,FL,095,28.53834,-81.37924,334854,PPLA2,America/New_York
4297983,Lexington,Lexington,KY,067,37.98869,-84.47772,320347,PPLA2,America/New_York
4683416,Corpus Christi,Corpus Christi,TX,355,27.80058,-97.39638,316239,PPLA2,America/Chicago
4508722,Cincinnati,Cincinnati,OH,061,39.12711,-84.51439,311097,PPLA2,America/New_York
5206379,Pittsburgh,Pittsburgh,PA,003,40.44062,-79.99589,304391,PPLA2,America/New_York
4300488,Meads,Meads,KY,019,38.41258,-82.70905,288649,PPL,America/New_York
4469146,Greensboro,Greensboro,NC,081,36.07264,-79.79198,285342,PPL,America/New_York
5261457,Madison,Madison,WI,025,43.07305,-89.40123,280305,PPLA,America/Chicago
4407066,St. Louis,St. Louis,MO,510,38.62727,-90.19789,279695,PPLA2,America/Chicago
5511077,Reno,Reno,NV,031,39.52963,-119.8138,264165,PPLA2,America/Los_Angeles
4920423,Fort Wayne,Fort Wayne,IN,003,41.1306,-85.12886,260326,PPLA2,America/Indiana/Indianapolis
5110629,Buffalo,Buffalo,NY,029,42.88645,-78.87837,258071,PPLA2,America/New_York
4705349,Laredo,Laredo,TX,479,27.50641,-99.50754,256153,PPLA2,America/Chicago
5525577,Lubbock,Lubbock,TX,303,33.57786,-101.85517,249042,PPLA2,America/Chicago
7289169,Tri-Cities,Tri-Cities,WA,021,46.2454,-119.19617,244036,PPLS,America/Los_Angeles
5586437,Boise,Boise,ID,001,43.6135,-116.20345,235684,PPLA,America/Boise
5811696,Spokane,Spokane,WA,063,47.65966,-117.42908,229447,PPLA2,America/Los_Angeles
4315588,Baton Rouge,Baton Rouge,LA,033,30.44332,-91.18747,227470,PPLA,America/Chicago
4781708,Richmond,Richmond,VA,760,37.55376,-77.46026,226610,PPLA,America/New_York
5780993,Salt Lake City,Salt Lake City,UT,035,40.76078,-111.89105,215548,PPLA,America/Denver
4068590,Huntsville,Huntsville,AL,089,34.7304,-86.58594,215006,PPLA2,America/Chicago
4853828,Des Moines,Des Moines,IA,153,41.60054,-93.60911,214133,PPLA,America/Chicago
5134086,Rochester,Rochester,NY,055,43.15478,-77.61556,209802,PPLA2,America/New_York
4188985,Columbus,Columbus,GA,215,32.46098,-84.98771,206922,PPLA2,America/New_York
4119403,Little Rock,Little Rock,AR,119,34.74648,-92.28959,202591,PPLA,America/Chicago
4174715,Tallahassee,Tallahassee,FL,073,30.43826,-84.28073,201731,PPLA,America/New_York
5516233,Amarillo,Amarillo,TX,375,35.222,-101.8313,198645,PPLA2,America/Chicago
4049979,Birmingham,Birmingham,AL,073,33.52066,-86.80249,196357,PPLA2,America/Chicago
4076784,Montgomery,Montgomery,AL,101,32.36681,-86.29997,195287,PPLA,America/Chicago
4994358,Grand Rapids,Grand Rapids,MI,081,42.96336,-85.66809,195097,PPLA2,America/Detroit
4634946,Knoxville,Knoxville,TN,093,35.96064,-83.92074,190740,PPLA2,America/New_York
4341513,Shreveport,Shreveport,LA,017,32.52515,-93.75018,187593,PPLA2,America/Chicago
4676740,Brownsville,Brownsville,TX,061,25.90175,-97.49748,186738,PPLA2,America/Chicago
4076598,Mobile,Mobile,AL,097,30.69436,-88.04305,183289,PPLA2,America/Chicago
4612862,Chattanooga,Chattanooga,TN,065,35.04563,-85.30968,181099,PPLA2,America/New_York
5393287,Santa Rosa,Santa Rosa,CA,097,38.44047,-122.71443,178127,PPLA2,America/Los_Angeles
5725846,Eugene,Eugene,OR,039,44.05207,-123.08675,176654,PPLA2,America/Los_Angeles
4149962,Cape Coral,Cape Coral,FL,071,26.56285,-81.94953,175229,PPL,America/New_York
5231851,Sioux Falls,Sioux Falls,SD,099,43.54369,-96.72796,171544,PPLA2,America/Chicago
4409896,Springfield,Springfield,MO,077,37.21533,-93.29824,170188,PPLA2,America/Chicago
4169171,Port Saint Lucie,Port Saint Lucie,FL,111,27.29393,-80.35033,164603,PPL,America/New_York
4951788,Springfield,Springfield,MA,013,42.10148,-72.58981,154341,PPL,America/New_York
4431410,Jackson,Jackson,MS,049,32.29876,-90.18481,153701,PPLA,America/Chicago
4221552,Savannah,Savannah,GA,051,32.08354,-81.09983,147780,PPLA2,America/New_York
5140405,Syracuse,Syracuse,NY,067,43.04812,-76.14742,144142,PPLA2,America/New_York
4575352,Columbia,Columbia,SC,079,34.00071,-81.03481,142416,PPLA,America/New_York
4574324,Charleston,Charleston,SC,019,32.77632,-79.93275,132609,PPLA2,America/New_York
5526337,Midland,Midland,TX,329,31.99735,-102.07791,132524,PPLA2,America/Chicago
4739526,Waco,Waco,TX,309,31.54933,-97.14667,132356,PPLA2,America/Chicago
4850751,Cedar Rapids,Cedar Rapids,IA,113,42.00833,-91.64407,130405,PPLA2,America/Chicago
4381982,Columbia,Columbia,MO,019,38.95171,-92.33407,129330,PPLA2,America/Chicago
4280539,Topeka,Topeka,KS,177,39.04833,-95.67804,125963,PPLA,America/Chicago
4669635,Abilene,Abilene,TX,441,32.44874,-99.73314,125182,PPLA2,America/Chicago
5406222,Victorville,Victorville,CA,071,34.53611,-117.29116,122225,PPL,America/Los_Angeles
5336269,Chico,Chico,CA,007,39.72849,-121.83748,121345,PPL,America/Los_Angeles
4257227,Evansville,Evansville,IN,163,37.97476,-87.55585,119943,PPLA2,America/Chicago
5059163,Fargo,Fargo,ND,017,46.87719,-96.7898,118523,PPLA2,America/Chicago
5640350,Billings,Billings,MT,111,45.78329,-108.50069,117116,PPLA2,America/Denver
4499379,Wilmington,Wilmington,NC,129,34.23556,-77.94604,115933,PPLA2,America/New_York
4672989,Beaumont,Beaumont,TX,245,30.08605,-94.10185,115282,PPLA2,America/Chicago
4905687,Peoria,Peoria,IL,143,40.69365,-89.58899,115070,PPLA2,America/Chicago
4998830,Lansing,Lansing,MI,065,42.73253,-84.55553,112644,PPLA,America/Detroit
5043473,Rochester,Rochester,MN,109,44.02163,-92.4699,112225,PPLA2,America/Chicago
