frame_index,time_sec,track_id,x,y,width,height,confidence
6,0.25025,1,1179.64,283.72,63.99,88.26,0.76085
9,0.375375,1,1182.44,273.46,57.16,78.82,0.73516
12,0.5005,1,1171.64,240.22,56.42,81.7,0.81175
15,0.625625,1,1137.61,217.74,62.87,113.56,0.79477
18,0.75075,1,1114.28,201.12,66.69,107.22,0.81668
21,0.875875,1,1119.04,183.57,52.2,96.29,0.79924
24,1.001,1,1118.74,176.84,53.3,95.67,0.83157
27,1.126125,1,1130.92,170.6,68.24,97.33,0.79429
30,1.25125,1,1149.0,158.48,79.55,95.17,0.68937
33,1.376375,1,1146.95,148.59,105.96,122.09,0.81291
36,1.5015,1,1143.74,139.04,113.5,130.91,0.791
39,1.626625,1,1106.3,112.68,100.95,126.69,0.89561
42,1.75175,1,1039.51,92.47,133.01,149.69,0.87712
45,1.876875,1,1015.52,70.18,123.09,151.2,0.9133
48,2.002,1,989.44,45.15,113.87,162.53,0.91619
51,2.127125,1,950.98,23.89,109.04,160.8,0.90191
54,2.25225,1,913.6,13.62,108.33,162.0,0.92053
57,2.377375,1,898.49,25.15,107.76,148.44,0.90373
60,2.5025,1,899.83,45.11,99.36,137.86,0.905
63,2.627625,1,891.18,68.94,103.44,138.2,0.90132
66,2.75275,1,891.19,76.89,103.54,144.0,0.9024
69,2.877875,1,883.08,77.94,106.48,144.97,0.90313
72,3.003,1,879.45,68.13,107.58,146.12,0.90912
75,3.128125,1,877.33,60.55,106.3,142.46,0.90395
78,3.25325,1,873.02,67.18,99.85,134.56,0.90331
81,3.378375,1,871.86,73.38,93.1,133.96,0.91112
84,3.5035,1,868.57,79.23,97.09,137.16,0.90863
87,3.628625,1,864.89,88.03,100.26,137.46,0.91146
90,3.75375,1,861.74,90.64,101.65,139.64,0.89742
93,3.878875,1,852.81,96.84,106.28,141.41,0.90296
96,4.004,1,850.53,101.26,111.32,144.99,0.89862
99,4.129125,1,841.17,112.45,97.17,129.6,0.89878
102,4.25425,1,838.5,138.15,96.81,124.28,0.89617
105,4.379375,1,808.93,143.48,112.99,139.91,0.88898
108,4.5045,1,758.3,125.85,114.56,145.13,0.89521
