article_number,sequence,title,url,doi,start_page,end_page,authors,author_urls
11409242,,Front Cover,https://ieeexplore.ieee.org/document/11409242/,10.1109/ISSCC49663.2026.11409242,1,1,,
11409247,,Copyright Page,https://ieeexplore.ieee.org/document/11409247/,10.1109/ISSCC49663.2026.11409247,1,1,,
11408949,,Title Page,https://ieeexplore.ieee.org/document/11408949/,10.1109/ISSCC49663.2026.11408949,1,1,,
11409029,,Table of Contents,https://ieeexplore.ieee.org/document/11409029/,10.1109/ISSCC49663.2026.11409029,3,3,,
11409259,,Reflections,https://ieeexplore.ieee.org/document/11409259/,10.1109/ISSCC49663.2026.11409259,4,4,,
11409019,,Foreword: Advancing AI with IC & SoC Innovations,https://ieeexplore.ieee.org/document/11409019/,10.1109/ISSCC49663.2026.11409019,5,6,,
11409106,,Session 1 Overview: Plenary,https://ieeexplore.ieee.org/document/11409106/,10.1109/ISSCC49663.2026.11409106,8,9,,
11409279,,Advancing Horizons for AI: Perspectives on Semiconductor Innovations,https://ieeexplore.ieee.org/document/11409279/,10.1109/ISSCC49663.2026.11409279,10,15,Rick Tsai,https://ieeexplore.ieee.org/author/942445320267802
11409084,1.2,1.2 Quantum Computing – Toward Large-Scale Fault-Tolerant Quantum Computing,https://ieeexplore.ieee.org/document/11409084/,10.1109/ISSCC49663.2026.11409084,16,22,Heike Riel,https://ieeexplore.ieee.org/author/285488490838644
11409151,,Awards,https://ieeexplore.ieee.org/document/11409151/,10.1109/ISSCC49663.2026.11409151,23,25,,
11409305,,Powering the AI Supercycle: Design for AI and AI for Design,https://ieeexplore.ieee.org/document/11409305/,10.1109/ISSCC49663.2026.11409305,26,34,Anirudh Devgan,https://ieeexplore.ieee.org/author/37087698902
11409140,,Empowering the next Wave of Silicon Engineers,https://ieeexplore.ieee.org/document/11409140/,10.1109/ISSCC49663.2026.11409140,35,39,Hope Giles,https://ieeexplore.ieee.org/author/519357057606207
11409169,,Session 2 Overview: Processors,https://ieeexplore.ieee.org/document/11409169/,10.1109/ISSCC49663.2026.11409169,40,41,,
11409030,2.1,2.1 AMD Instinct MI350 Series GPUs: CDNA 4-Based 3D-Stacked 3nm XCDs and 6nm IODs for AI Applications,https://ieeexplore.ieee.org/document/11409030/,10.1109/ISSCC49663.2026.11409030,42,44,Ramasamy Adaikkalavan; Alan Smith; Teja Singh; Sundar Rangarajan; Eric Chapman; Samuel Naffziger; Subramaniam Maiyuran; Candy Chen; Sriram Sundaram; Mark Silla; Duncan Law; Kathy Hoover; Samuel Lipson; Kevin Duda; Vinay Parthasarathy; Deepesh John; Hanish Vemulapalli; Srinivas Pavan Kumar Gade,https://ieeexplore.ieee.org/author/260531000857825; https://ieeexplore.ieee.org/author/37335415600; https://ieeexplore.ieee.org/author/38580732700; https://ieeexplore.ieee.org/author/37086095822; https://ieeexplore.ieee.org/author/523533477449272; https://ieeexplore.ieee.org/author/153476747008634; https://ieeexplore.ieee.org/author/37086096857; https://ieeexplore.ieee.org/author/291737685754392; https://ieeexplore.ieee.org/author/37604319200; https://ieeexplore.ieee.org/author/849863995201282; https://ieeexplore.ieee.org/author/367298221054343; https://ieeexplore.ieee.org/author/626077305557577; https://ieeexplore.ieee.org/author/518237496094070; https://ieeexplore.ieee.org/author/38228902500; https://ieeexplore.ieee.org/author/37089774580; https://ieeexplore.ieee.org/author/37086100678; https://ieeexplore.ieee.org/author/880993473905242; https://ieeexplore.ieee.org/author/128757686008006
11409003,,A Quad-Chiplet AI SoC with Full-Chip Scalable Mesh Over 16Gb/s UCIe-Advanced Die-to-Die Interface for Large-Scale AI Inferencing,https://ieeexplore.ieee.org/document/11409003/,10.1109/ISSCC49663.2026.11409003,44,46,Chang-Hyo Yu; Jaewan Bae; Jinseok Kim; Hongyun Kim; Wongyu Shin; Jae-Sung Yoon; Young-Jae Jin; Jungju Oh; Jaebong Lee; Eunseo Kim; Miock Chi; Sungpill Choi; Donghan Kim; Hyunje Jo; Hyunho Kim; Hyungseok Heo; Hyunsung Kim; Seung-Goo Kim; Myunghoon Choi; Sangeun Je; Junhee Ham; Juyeong Yoon; Yashael Faith Arthanto; Sung-il Bae; Sanggyu Park; Joungwoo Lee; Heeyoung Chae; Kiljun Ryu; Yongjik Kim; Jin-O Seo; Nara Cho; Taeyoung Jeon; Gukchae Ahn; Myoungoh Ki; Junkyeong Choi; Seungcheol Baek; Daehoon Kim; JuHwan Kim; Sungmoon Kang; Sieon Son; Minseo Kim; Yeounghwan Choe; Younggeun Lee; Sunghyun Park; Jinwook Oh,https://ieeexplore.ieee.org/author/569561839773723; https://ieeexplore.ieee.org/author/37089539413; https://ieeexplore.ieee.org/author/37089538862; https://ieeexplore.ieee.org/author/118344350028678; https://ieeexplore.ieee.org/author/38580458900; https://ieeexplore.ieee.org/author/37086733958; https://ieeexplore.ieee.org/author/206584809345293; https://ieeexplore.ieee.org/author/37898551300; https://ieeexplore.ieee.org/author/38240972100; https://ieeexplore.ieee.org/author/37086218791; https://ieeexplore.ieee.org/author/380423601811956; https://ieeexplore.ieee.org/author/37085345650; https://ieeexplore.ieee.org/author/37089774279; https://ieeexplore.ieee.org/author/156429799791506; https://ieeexplore.ieee.org/author/37089787243; https://ieeexplore.ieee.org/author/457944849383368; https://ieeexplore.ieee.org/author/37088235769; https://ieeexplore.ieee.org/author/920585719387109; https://ieeexplore.ieee.org/author/645978694623530; https://ieeexplore.ieee.org/author/37089390978; https://ieeexplore.ieee.org/author/609749643787645; https://ieeexplore.ieee.org/author/212196411043403; https://ieeexplore.ieee.org/author/37087100767; https://ieeexplore.ieee.org/author/38581109400; https://ieeexplore.ieee.org/author/37293215200; https://ieeexplore.ieee.org/author/364559084676083; https://ieeexplore.ieee.org/author/315580626493864; https://ieeexplore.ieee.org/author/326209644928246; https://ieeexplore.ieee.org/author/488926703505931; https://ieeexplore.ieee.org/author/37087015079; https://ieeexplore.ieee.org/author/659224564341303; https://ieeexplore.ieee.org/author/988276088691123; https://ieeexplore.ieee.org/author/932416455658698; https://ieeexplore.ieee.org/author/37087895421; https://ieeexplore.ieee.org/author/37089575209; https://ieeexplore.ieee.org/author/38237070000; https://ieeexplore.ieee.org/author/38088620900; https://ieeexplore.ieee.org/author/37090050586; https://ieeexplore.ieee.org/author/37086074469; https://ieeexplore.ieee.org/author/401986846265179; https://ieeexplore.ieee.org/author/37089163359; https://ieeexplore.ieee.org/author/445970706591024; https://ieeexplore.ieee.org/author/220827237206191; https://ieeexplore.ieee.org/author/37089543770; https://ieeexplore.ieee.org/author/37085888794
11409158,2.3,2.3 A 71.3mJ/Frame End-to-End Driving Processor with Flexible Heterogeneous Core Orchestration via Sparsity Reasoning,https://ieeexplore.ieee.org/document/11409158/,10.1109/ISSCC49663.2026.11409158,46,48,Jueun Jung; Sangho Lee; Junghyun Yoo; Ghangmin Yun; Kyuho Jason Lee,https://ieeexplore.ieee.org/author/37088881879; https://ieeexplore.ieee.org/author/37407210800; https://ieeexplore.ieee.org/author/37088673959; https://ieeexplore.ieee.org/author/820277111574532; https://ieeexplore.ieee.org/author/37089066614
11409283,,UniC-Vision: A 14.4Gb/s 7.3pJ/b Universal Vision Transformer OFDM Channel Estimation Accelerator for B5G/6G AI-RAN,https://ieeexplore.ieee.org/document/11409283/,10.1109/ISSCC49663.2026.11409283,48,50,Sangbu Yun; Chanhee Lee; Soonhyun Kwon; Jeongtaek Chang; Zhengya Zhang; Youngjoo Lee,https://ieeexplore.ieee.org/author/37088936478; https://ieeexplore.ieee.org/author/37085792745; https://ieeexplore.ieee.org/author/869972497768469; https://ieeexplore.ieee.org/author/529255014058383; https://ieeexplore.ieee.org/author/37088373360; https://ieeexplore.ieee.org/author/37087334949
