wavelength_nm,power_17_mW_dbm,power_73_mW_dbm,power_131_mW_dbm,power_188_mW_dbm,power_244_mW_dbm,power_296_mW_dbm,power_344_mW_dbm,power_367_mW_dbm
1547.1419,nan,nan,nan,nan,nan,nan,-43.285714,nan
1547.1592,nan,nan,nan,nan,nan,nan,-42.804511,nan
1547.1765,-42.586466,-43.120301,nan,nan,nan,nan,-41.977444,nan
1547.1851,nan,nan,nan,nan,nan,nan,-41.721805,nan
1547.1938,-42.045113,-42.827068,nan,nan,nan,nan,-41.428571,nan
1547.2024,nan,nan,nan,nan,nan,nan,nan,-43.593985
1547.2111,-41.270677,nan,nan,nan,nan,nan,-40.496241,-43.473684
1547.2197,nan,nan,nan,nan,nan,nan,nan,-43.37594
1547.2284,-40.533835,nan,nan,nan,nan,nan,-39.804511,-43.285714
1547.237,-40.285714,nan,nan,nan,nan,nan,nan,-43.150376
1547.2457,-39.601504,nan,nan,nan,nan,nan,nan,-43.015038
1547.2543,-39.421053,nan,nan,nan,nan,nan,-38.413534,-42.857143
1547.263,-38.759398,nan,nan,nan,nan,nan,nan,-42.62406
1547.2716,-38.56391,-39.947368,-40.518797,nan,nan,nan,-37.338346,-42.428571
1547.2803,-38.06015,nan,nan,nan,nan,nan,-37.06015,-42.195489
1547.2889,-37.766917,-39.300752,-40.037594,nan,nan,nan,nan,-42.052632
1547.2976,-37.390977,nan,nan,nan,nan,nan,nan,-41.759398
1547.3062,-37.007519,nan,-39.330827,nan,nan,nan,nan,-41.578947
1547.3149,-36.646617,nan,nan,nan,nan,nan,nan,-41.233083
1547.3235,-36.300752,-37.932331,-38.616541,nan,nan,nan,nan,-41.045113
1547.3322,-35.954887,-37.62406,-38.451128,nan,nan,nan,nan,-40.789474
1547.3408,-35.661654,-37.360902,-38.120301,nan,nan,nan,nan,-40.601504
1547.3495,-35.383459,-37.172932,-39.398496,nan,nan,nan,nan,-40.421053
1547.3581,-35.06015,-36.894737,-37.533835,nan,nan,nan,nan,-40.090226
1547.3668,-34.804511,-36.691729,-37.481203,-38.172932,nan,nan,nan,-39.87218
1547.3754,-34.428571,-36.473684,-37.255639,-37.834586,nan,nan,nan,-39.541353
1547.3841,-34.240602,-36.300752,-37.278195,-37.75188,nan,nan,nan,-39.428571
1547.3927,-33.984962,-36.150376,-37.030075,-37.533835,nan,nan,nan,-39.180451
1547.4014,-33.827068,-36,-36.917293,-37.37594,nan,nan,nan,-38.992481
1547.41,-33.616541,-35.849624,-36.661654,nan,nan,nan,nan,-38.766917
1547.4187,-33.473684,-35.571429,-36.533835,-37.06015,nan,nan,nan,-38.548872
1547.4273,-33.338346,-35.413534,-36.496241,-36.962406,nan,nan,nan,-38.421053
1547.436,-33.210526,-35.270677,-36.466165,-36.819549,-37.233083,nan,nan,-38.225564
1547.4446,-33.090226,-35.135338,-36.421053,-36.759398,-37.142857,nan,nan,-38.12782
1547.4533,-33,-35.015038,-36.323308,-36.669173,-37.022556,nan,nan,-37.954887
1547.4619,-32.932331,-34.917293,-36.18797,-36.601504,-36.954887,nan,nan,-37.857143
1547.4706,-32.857143,-34.827068,-36.022556,-36.541353,-36.87218,nan,nan,-37.721805
1547.4792,-32.827068,-34.774436,-35.887218,-36.481203,-36.81203,-37.157895,nan,-37.639098
1547.4879,-32.81203,-34.706767,-35.781955,-36.43609,-36.766917,-37.082707,nan,-37.556391
1547.4965,-32.796992,-34.676692,-35.706767,-36.413534,-36.729323,-37.030075,-37.263158,-37.496241
1547.5052,-32.804511,-34.639098,-35.639098,-36.368421,-36.706767,-36.992481,-37.233083,-37.421053
1547.5138,-32.804511,-34.62406,-35.586466,-36.323308,-36.654135,-36.962406,-37.180451,-37.368421
1547.5225,-32.819549,-34.609023,-35.541353,-36.293233,-36.62406,-36.932331,-37.150376,-37.315789
1547.5311,-32.834586,-34.593985,-35.518797,-36.263158,-36.593985,-36.902256,-37.120301,-37.278195
1547.5398,-32.857143,-34.593985,-35.503759,-36.24812,-36.571429,-36.87218,-37.105263,-37.255639
1547.5484,-32.887218,-34.593985,-35.488722,-36.240602,-36.548872,-36.842105,-37.090226,-37.225564
1547.5571,-32.924812,-34.593985,-35.488722,-36.233083,-36.541353,-36.827068,-37.075188,-37.203008
1547.5657,-32.947368,-34.601504,-35.496241,-36.225564,-36.541353,-36.81203,-37.037594,-37.180451
1547.5744,-33,-34.616541,-35.496241,-36.218045,-36.533835,-36.804511,-37.030075,-37.172932
1547.583,-33.045113,-34.62406,-35.496241,-36.203008,-36.541353,-36.804511,-37.030075,-37.157895
1547.5917,-33.135338,-34.661654,-35.496241,-36.18797,-36.541353,-36.804511,-37.037594,-37.142857
1547.6003,-33.210526,-34.684211,-35.503759,-36.172932,-36.548872,-36.81203,-37.045113,-37.12782
1547.609,-33.330827,-34.699248,-35.518797,-36.172932,-36.571429,-36.81203,-37.052632,-37.12782
1547.6176,-33.421053,-34.729323,-35.511278,-36.165414,-36.586466,-36.819549,-37.06015,-37.12782
1547.6263,-33.56391,-34.766917,-35.518797,-36.157895,-36.601504,-36.834586,-37.06015,-37.135338
1547.6349,-33.699248,-34.789474,-35.541353,-36.157895,-36.631579,-36.842105,-37.06015,-37.135338
1547.6436,-33.857143,-34.804511,-35.578947,-36.165414,-36.661654,-36.857143,-37.052632,-37.142857
1547.6522,-33.977444,-34.819549,-35.578947,-36.172932,-36.676692,-36.87218,-37.052632,-37.142857
1547.6609,-34.112782,-34.827068,-35.601504,-36.18797,-36.699248,-36.887218,-37.413534,-37.150376
1547.6696,-34.18797,-34.842105,-35.616541,-36.203008,-36.714286,-36.902256,-38.142857,-37.150376
1547.6782,-34.233083,-34.857143,-35.669173,-36.203008,-36.714286,-36.917293,-38.195489,-37.157895
1547.6869,-34.24812,-34.87218,-35.691729,-36.24812,-36.729323,-36.93985,-39.082707,-37.180451
1547.6955,-34.240602,-34.887218,-35.714286,-36.263158,-36.744361,-36.977444,-39.75188,-37.210526
1547.7042,-34.218045,-34.917293,-35.721805,-36.300752,-36.744361,-37,-40.654135,-37.225564
1547.7128,-34.150376,-34.954887,-35.736842,-36.308271,-36.736842,-37.015038,-40.879699,-37.240602
1547.7215,-33.909774,-35,-35.759398,-36.330827,-36.736842,-37.045113,-41.503759,-37.255639
1547.7301,-33.766917,-35.052632,-35.781955,-36.338346,-36.736842,-37.06015,-42.06015,-37.270677
1547.7388,-33.609023,-35.105263,-35.804511,-36.353383,-36.744361,-37.075188,-42.353383,-37.293233
1547.7474,-33.458647,-35.157895,-35.842105,-36.368421,-36.759398,-37.090226,-42.593985,-37.308271
1547.7561,-33.300752,-35.218045,-35.864662,-36.383459,-36.774436,-37.097744,-42.796992,-37.323308
1547.7647,-33.255639,-35.255639,-35.902256,-36.390977,-36.789474,-37.112782,-42.977444,-37.338346
1547.7734,-33.142857,-35.300752,-35.932331,-36.413534,-36.81203,-37.112782,-43.030075,-37.345865
1547.782,-33.090226,-35.330827,-35.969925,-36.421053,-36.827068,-37.12782,-43.165414,-37.368421
1547.7907,-33.037594,-35.360902,-36.007519,-36.443609,-36.857143,-37.135338,-43.218045,-37.383459
1547.7993,-33.030075,-35.37594,-36.037594,-36.458647,-36.887218,-37.150376,-43.330827,-37.398496
1547.808,-33.030075,-35.383459,-36.067669,-36.488722,-36.917293,-37.165414,-43.390977,-37.421053
1547.8166,-33.037594,-35.390977,-36.090226,-36.503759,-36.947368,-37.195489,-43.503759,-37.443609
1547.8253,-33.06015,-35.413534,-36.112782,-36.526316,-36.977444,-37.218045,-43.56391,-37.458647
1547.8339,-33.090226,-35.43609,-36.142857,-36.556391,-37,-37.240602,-43.62406,-37.488722
1547.8426,-33.165414,-35.481203,-36.150376,-36.586466,-37.015038,-37.263158,nan,-37.511278
1547.8512,-33.18797,-35.511278,-36.172932,-36.609023,-37.037594,-37.293233,nan,-37.526316
1547.8599,-33.300752,-35.601504,-36.195489,-36.646617,-37.052632,-37.323308,nan,-37.556391
1547.8685,-33.548872,-35.654135,-36.210526,-36.669173,-37.052632,-37.345865,nan,-37.571429
1547.8772,-33.691729,-35.744361,-36.24812,-36.714286,-37.06015,-37.368421,nan,-37.609023
1547.8858,-33.796992,-35.819549,-36.270677,-36.744361,-37.06015,-37.383459,nan,-37.609023
1547.8945,-33.947368,-35.924812,-36.308271,-36.774436,-37.067669,-37.406015,nan,-37.639098
1547.9031,-34.120301,-35.992481,-36.353383,-36.796992,-37.075188,-37.413534,nan,-37.646617
1547.9118,-34.278195,-36.067669,-36.390977,-36.827068,-37.097744,-37.428571,nan,-37.661654
1547.9204,-34.526316,-36.12782,-36.451128,-36.842105,-37.120301,-37.43609,nan,-37.676692
1547.9291,-34.684211,-36.203008,-36.488722,-36.864662,-37.142857,-37.443609,nan,-37.691729
1547.9377,-34.93985,-36.218045,-36.518797,-36.87218,-37.180451,-37.458647,nan,-37.706767
1547.9464,-35.120301,-36.233083,-36.541353,-36.87218,-37.203008,-37.458647,nan,-37.721805
1547.955,-35.345865,-36.240602,-36.556391,-36.87218,-37.225564,-37.466165,-40.759398,-37.736842
1547.9637,-35.556391,-36.24812,-36.571429,-36.879699,-37.24812,-37.466165,nan,-37.75188
1547.9723,-35.714286,-36.255639,-36.578947,-36.887218,-37.270677,-37.473684,nan,-37.759398
1547.981,-35.887218,-36.270677,-36.578947,-36.909774,-37.278195,-37.473684,nan,-37.774436
1547.9896,-35.992481,-36.338346,-36.601504,-36.962406,-37.315789,-37.488722,-37.721805,-37.789474
1547.9983,-36.112782,-36.368421,-36.62406,-36.969925,-37.330827,-37.503759,-37.729323,-37.804511
1548.0069,-37.240602,-36.37594,-36.661654,-37.007519,-37.353383,-37.518797,nan,-37.819549
1548.0156,-38,-36.398496,-36.706767,-37.037594,-37.368421,-37.526316,-37.736842,-37.834586
1548.0242,-38.150376,-36.481203,-36.744361,-37.090226,-37.390977,-37.556391,-37.759398,-37.857143
1548.0329,-38.345865,-36.526316,-36.781955,-37.12782,-37.406015,-37.571429,-37.781955,-37.87218
1548.0415,-38.511278,nan,-36.842105,-37.180451,-37.421053,-37.601504,-37.804511,-37.894737
1548.0502,-38.984962,-37.338346,-36.894737,-37.203008,-37.43609,-37.631579,-37.81203,-37.917293
1548.0588,-39.210526,nan,-36.969925,-37.233083,-37.451128,-37.646617,-37.834586,-37.924812
1548.0675,-39.511278,-38.037594,-37.007519,-37.255639,-37.466165,-37.676692,-37.857143,-37.924812
1548.0761,-39.819549,-38.082707,-37.075188,-37.270677,-37.466165,-37.691729,-37.887218,-37.947368
1548.0848,-40.353383,-38.12782,-37.135338,-37.293233,-37.473684,-37.721805,-37.902256,-37.962406
1548.0934,-40.744361,-38.142857,-37.180451,-37.308271,-37.473684,-37.75188,-40.924812,-37.962406
1548.1021,-41.075188,-38.157895,-37.218045,-37.338346,-37.481203,-37.744361,nan,-37.962406
1548.1107,-41.360902,-38.150376,-37.225564,-37.338346,-37.481203,-37.744361,nan,-37.954887
1548.1194,-41.691729,-38.150376,-37.240602,-37.353383,-37.496241,-37.75188,nan,-37.947368
1548.128,-41.894737,-38.12782,-37.24812,-37.360902,-37.496241,-37.736842,nan,-37.93985
1548.1367,-42.225564,-38.075188,-37.24812,-37.383459,-37.511278,-37.721805,nan,-37.924812
1548.1453,-42.43609,-38.037594,-37.270677,-37.398496,-37.533835,-37.714286,nan,-37.917293
1548.154,-42.759398,-37.804511,-37.285714,-37.421053,-37.548872,-37.714286,nan,-37.917293
1548.1626,-42.894737,nan,-37.323308,-37.43609,-37.556391,-37.714286,nan,-37.917293
1548.1713,-43.045113,nan,-37.345865,nan,-37.56391,-37.729323,nan,-37.924812
1548.1799,-43.165414,nan,-37.398496,nan,-37.578947,-37.75188,nan,-37.932331
1548.1886,-43.353383,nan,nan,nan,-37.609023,-37.766917,nan,-37.947368
1548.1972,-43.451128,nan,nan,nan,-37.631579,-37.781955,nan,-37.969925
1548.2059,-43.541353,-37.496241,-38.142857,nan,-37.654135,-37.796992,nan,-37.992481
1548.2145,-43.62406,-37.548872,-38.218045,nan,nan,-37.819549,nan,-38.015038
1548.2232,nan,-38.518797,-38.255639,-37.646617,nan,-37.842105,nan,-38.030075
1548.2318,nan,-38.616541,-38.270677,-37.661654,nan,-37.87218,nan,-38.045113
1548.2405,nan,-38.887218,-38.278195,-37.699248,nan,-37.894737,nan,-38.06015
1548.2491,nan,-38.984962,-38.300752,-37.721805,nan,-37.932331,nan,-38.082707
1548.2578,nan,-39.225564,-38.330827,-37.744361,-37.842105,-37.954887,nan,-38.105263
1548.2664,nan,-39.586466,-38.353383,-37.759398,-37.849624,-37.962406,nan,-38.112782
1548.2751,nan,-39.834586,-38.368421,-37.774436,-37.879699,-37.984962,-41.045113,-38.112782
1548.2837,nan,-40.06015,nan,-38.270677,-37.887218,-38,nan,-38.12782
1548.2924,nan,-40.285714,-38.067669,-38.308271,-37.902256,-38.015038,nan,-38.135338
1548.301,nan,-40.398496,-38.075188,-38.330827,-37.917293,-38.037594,nan,-38.150376
1548.3097,nan,-40.428571,nan,-38.368421,-37.932331,-38.045113,-41.06015,-38.157895
1548.3183,nan,-40.443609,-38.090226,-38.398496,-37.962406,-38.052632,-41.06015,-38.172932
1548.327,nan,-40.368421,-38.097744,-38.451128,-37.984962,-38.06015,nan,-38.195489
1548.3356,nan,-40.150376,-38.548872,-38.466165,-38.300752,nan,nan,-38.210526
1548.3443,nan,-39.932331,-38.571429,nan,-38.353383,nan,nan,-38.240602
