wavelength_nm,power_0_mW_dbm,power_17_mW_dbm,power_73_mW_dbm,power_131_mW_dbm,power_188_mW_dbm,power_244_mW_dbm,power_296_mW_dbm,power_344_mW_dbm,power_367_mW_dbm
1546,-43.99605,-43.969425,-43.987167,-43.985315,-43.986981,-43.998738,-43.999294,-43.997286,-43.998069
1546.0031,-43.994967,-43.970152,-43.987746,-43.98512,-43.987351,-43.998405,-43.999139,-43.997498,-43.998203
1546.0062,-43.992836,-43.971577,-43.988826,-43.984809,-43.988067,-43.997738,-43.998795,-43.997846,-43.998401
1546.0094,-43.989733,-43.973636,-43.990267,-43.984512,-43.989083,-43.996742,-43.998211,-43.9982,-43.998543
1546.0125,-43.985783,-43.976232,-43.991901,-43.984368,-43.990333,-43.995435,-43.997337,-43.998416,-43.998499
1546.0156,-43.981167,-43.979226,-43.993553,-43.984492,-43.991738,-43.993851,-43.996145,-43.998366,-43.998161
1546.0187,-43.976112,-43.982453,-43.995065,-43.98495,-43.993205,-43.992048,-43.994642,-43.997963,-43.997456
1546.0219,-43.970884,-43.98572,-43.996301,-43.985764,-43.994636,-43.990101,-43.992862,-43.997159,-43.996357
1546.025,-43.965764,-43.988827,-43.997151,-43.986909,-43.995932,-43.988102,-43.990872,-43.995947,-43.994874
1546.0281,-43.961034,-43.991576,-43.997532,-43.988328,-43.996996,-43.986148,-43.988757,-43.994354,-43.993048
1546.0312,-43.956958,-43.993788,-43.997391,-43.98994,-43.997744,-43.984341,-43.986614,-43.992432,-43.99095
1546.0344,-43.953763,-43.995308,-43.996707,-43.991647,-43.998104,-43.982776,-43.98455,-43.99026,-43.988666
1546.0375,-43.95163,-43.996024,-43.995489,-43.993337,-43.998024,-43.981539,-43.982668,-43.987929,-43.986299
1546.0406,-43.950681,-43.995866,-43.993781,-43.994898,-43.997476,-43.9807,-43.981066,-43.985547,-43.98396
1546.0438,-43.950973,-43.994817,-43.991656,-43.996218,-43.996459,-43.98031,-43.979831,-43.983226,-43.981763
1546.0469,-43.952494,-43.992912,-43.989213,-43.997197,-43.994995,-43.980395,-43.979031,-43.981081,-43.979817
1546.05,-43.955163,-43.990238,-43.986573,-43.997747,-43.993136,-43.980955,-43.978713,-43.979219,-43.978222
1546.0531,-43.958833,-43.986929,-43.983872,-43.997805,-43.990956,-43.981964,-43.978899,-43.977735,-43.977061
1546.0563,-43.963299,-43.983157,-43.981253,-43.997331,-43.988549,-43.98337,-43.979583,-43.97671,-43.976398
1546.0594,-43.968309,-43.979126,-43.978858,-43.996316,-43.986028,-43.985096,-43.980733,-43.9762,-43.97627
1546.0625,-43.973578,-43.975056,-43.976821,-43.99478,-43.983511,-43.987045,-43.982289,-43.976234,-43.97669
1546.0656,-43.978802,-43.971175,-43.975255,-43.992773,-43.981124,-43.989102,-43.984166,-43.976815,-43.977637
1546.0687,-43.983675,-43.967701,-43.974254,-43.990374,-43.978988,-43.991144,-43.98626,-43.977917,-43.979065
