z_mm,normalized_temperature_rise
0.000000000000000000e+00,1.763132409338394389e-04
1.000000000000000021e-02,1.803122769981087400e-04
2.000000000000000042e-02,1.843964872633874631e-04
3.000000000000000583e-02,1.885675537004010392e-04
4.000000000000000083e-02,1.928271884796702821e-04
5.000000000000000278e-02,1.971771344482347308e-04
6.000000000000001166e-02,2.016191656125363211e-04
7.000000000000000666e-02,2.061550876275266479e-04
8.000000000000000167e-02,2.107867382920453894e-04
9.000000000000001055e-02,2.155159880505286816e-04
1.000000000000000056e-01,2.203447405010912482e-04
1.100000000000000006e-01,2.252749329100405581e-04
1.200000000000000233e-01,2.303085367328694172e-04
1.300000000000000044e-01,2.354475581417917200e-04
1.400000000000000133e-01,2.406940385598546465e-04
1.500000000000000222e-01,2.460500552016856609e-04
1.600000000000000033e-01,2.515177216209444613e-04
1.700000000000000122e-01,2.570991882644901513e-04
1.800000000000000211e-01,2.627966430333583681e-04
1.900000000000000022e-01,2.686123118505676630e-04
2.000000000000000111e-01,2.745484592358191870e-04
2.100000000000000200e-01,2.806073888871348345e-04
2.200000000000000011e-01,2.867914442694875169e-04
2.300000000000000100e-01,2.931030092104693714e-04
2.400000000000000466e-01,2.995445085030433875e-04
2.500000000000000000e-01,3.061184085154349931e-04
2.600000000000000089e-01,3.128272178082042035e-04
2.700000000000000178e-01,3.196734877585542768e-04
2.800000000000000266e-01,3.266598131919070725e-04
2.899999999999999800e-01,3.337888330208143390e-04
3.000000000000000444e-01,3.410632308912319257e-04
3.099999999999999978e-01,3.484857358362182327e-04
3.200000000000000067e-01,3.560591229370774972e-04
3.300000000000000711e-01,3.637862139920334604e-04
3.400000000000000244e-01,3.716698781924263127e-04
3.500000000000000333e-01,3.797130328065182457e-04
3.600000000000000422e-01,3.879186438709331954e-04
3.700000000000000511e-01,3.962897268897644441e-04
3.800000000000000044e-01,4.048293475414096012e-04
3.900000000000000688e-01,4.135406223931610450e-04
4.000000000000000222e-01,4.224267196235981757e-04
4.100000000000000311e-01,4.314908597528098293e-04
4.200000000000000400e-01,4.407363163805029624e-04
4.300000000000000488e-01,4.501664169320166884e-04
4.400000000000000022e-01,4.597845434122982064e-04
4.500000000000000666e-01,4.695941331678442007e-04
4.600000000000000200e-01,4.795986796566934721e-04
4.700000000000000289e-01,4.898017332264463508e-04
4.800000000000000933e-01,5.002069019003923698e-04
4.900000000000001021e-01,5.108178521717465781e-04
5.000000000000000000e-01,5.216383098060520642e-04
5.100000000000000089e-01,5.326720606517461971e-04
5.200000000000000178e-01,5.439229514589530344e-04
5.300000000000001377e-01,5.553948907065150162e-04
5.400000000000000355e-01,5.670918494372794490e-04
5.500000000000000444e-01,5.790178621016904125e-04
5.600000000000000533e-01,5.911770274096905331e-04
5.700000000000000622e-01,6.035735091909718740e-04
5.799999999999999600e-01,6.162115372635756146e-04
5.900000000000000799e-01,6.290954083108919129e-04
6.000000000000000888e-01,6.422294867670518166e-04
6.100000000000000977e-01,6.556182057107558941e-04
6.199999999999999956e-01,6.692660677675175756e-04
6.300000000000000044e-01,6.831776460203988323e-04
6.400000000000000133e-01,6.973575849291799734e-04
6.500000000000001332e-01,7.118106012580343580e-04
6.600000000000001421e-01,7.265414850116900256e-04
6.700000000000000400e-01,7.415551003801035051e-04
6.800000000000000488e-01,7.568563866916307344e-04
6.900000000000000577e-01,7.724503593747346613e-04
7.000000000000000666e-01,7.883421109282147832e-04
7.099999999999999645e-01,8.045368118999545034e-04
7.200000000000000844e-01,8.210397118742159038e-04
7.300000000000000933e-01,8.378561404674516851e-04
7.400000000000001021e-01,8.549915083326690762e-04
7.500000000000000000e-01,8.724513081722779515e-04
7.600000000000000089e-01,8.902411157595232268e-04
7.700000000000000178e-01,9.083665909683735990e-04
7.800000000000001377e-01,9.268334788119527139e-04
7.900000000000000355e-01,9.456476104894520488e-04
8.000000000000000444e-01,9.648149044415405776e-04
8.100000000000000533e-01,9.843413674142241672e-04
8.200000000000000622e-01,1.004233095531174326e-03
8.300000000000000711e-01,1.024496275374483373e-03
8.400000000000000799e-01,1.045137185073845591e-03
8.500000000000000888e-01,1.066162195404106146e-03
8.600000000000000977e-01,1.087577770891197610e-03
8.700000000000001066e-01,1.109390470926415080e-03
8.800000000000000044e-01,1.131606950888982849e-03
8.900000000000000133e-01,1.154233963276917818e-03
9.000000000000001332e-01,1.177278358846131330e-03
9.100000000000001421e-01,1.200747087757750775e-03
9.200000000000000400e-01,1.224647200733569889e-03
9.300000000000000488e-01,1.248985850219698880e-03
9.400000000000000577e-01,1.273770291558229623e-03
9.500000000000000666e-01,1.299007884166982927e-03
9.600000000000001865e-01,1.324706092727232941e-03
9.700000000000000844e-01,1.350872488379384600e-03
9.800000000000002043e-01,1.377514749926507867e-03
9.899999999999999911e-01,1.404640665045734814e-03
1.000000000000000000e+00,1.432258131507425231e-03
1.010000000000000009e+00,1.460375158402015764e-03
1.020000000000000018e+00,1.488999867374525467e-03
1.030000000000000027e+00,1.518140493866681345e-03
1.040000000000000036e+00,1.547805388366494533e-03
1.050000000000000044e+00,1.578003017665281045e-03
1.060000000000000275e+00,1.608741966122083714e-03
1.070000000000000062e+00,1.640030936935346368e-03
1.080000000000000071e+00,1.671878753421769540e-03
1.090000000000000080e+00,1.704294360302315622e-03
1.100000000000000089e+00,1.737286824995236617e-03
1.110000000000000098e+00,1.770865338916009129e-03
1.120000000000000107e+00,1.805039218784140363e-03
1.130000000000000115e+00,1.839817907936708340e-03
1.140000000000000124e+00,1.875210977648565820e-03
1.150000000000000133e+00,1.911228128459042724e-03
1.159999999999999920e+00,1.947879191505119505e-03
1.169999999999999929e+00,1.985174129860934212e-03
1.180000000000000160e+00,2.023123039883456716e-03
1.190000000000000169e+00,2.061736152564270456e-03
1.200000000000000178e+00,2.101023834887390598e-03
1.210000000000000187e+00,2.140996591192839520e-03
1.220000000000000195e+00,2.181665064545978538e-03
1.230000000000000204e+00,2.223040038112465352e-03
1.239999999999999991e+00,2.265132436538645072e-03
1.250000000000000000e+00,2.307953327337228678e-03
1.260000000000000009e+00,2.351513922278199945e-03
1.270000000000000018e+00,2.395825578784743521e-03
1.280000000000000027e+00,2.440899801334024590e-03
1.290000000000000036e+00,2.486748242862732092e-03
1.300000000000000266e+00,2.533382706177185559e-03
1.310000000000000275e+00,2.580815145367877650e-03
1.320000000000000284e+00,2.629057667228215135e-03
1.330000000000000071e+00,2.678122532677387237e-03
1.340000000000000080e+00,2.728022158187157903e-03
1.350000000000000089e+00,2.778769117212307512e-03
1.360000000000000098e+00,2.830376141624737444e-03
1.370000000000000107e+00,2.882856123150898380e-03
1.380000000000000115e+00,2.936222114812369298e-03
1.390000000000000124e+00,2.990487332369480035e-03
1.400000000000000133e+00,3.045665155767691631e-03
1.409999999999999920e+00,3.101769130586636003e-03
1.419999999999999929e+00,3.158812969491438076e-03
1.430000000000000160e+00,3.216810553686327324e-03
1.440000000000000169e+00,3.275775934370177885e-03
1.450000000000000178e+00,3.335723334193785566e-03
1.460000000000000187e+00,3.396667148718701332e-03
1.470000000000000195e+00,3.458621947877373211e-03
1.480000000000000204e+00,3.521602477434389745e-03
1.490000000000000213e+00,3.585623660448467205e-03
1.500000000000000000e+00,3.650700598735207025e-03
1.510000000000000009e+00,3.716848574330095228e-03
1.520000000000000018e+00,3.784083050951621546e-03
1.530000000000000027e+00,3.852419675464336529e-03
1.540000000000000036e+00,3.921874279341511400e-03
1.550000000000000266e+00,3.992462880127057613e-03
1.560000000000000275e+00,4.064201682896633264e-03
1.570000000000000284e+00,4.137107081717526086e-03
1.580000000000000071e+00,4.211195661107116142e-03
1.590000000000000080e+00,4.286484197489523126e-03
1.600000000000000089e+00,4.362989660650325521e-03
1.610000000000000098e+00,4.440729215188969105e-03
1.620000000000000107e+00,4.519720221968509186e-03
1.630000000000000115e+00,4.599980239562544322e-03
1.640000000000000124e+00,4.681527025698925190e-03
1.650000000000000133e+00,4.764378538699967115e-03
1.660000000000000142e+00,4.848552938918866163e-03
1.670000000000000151e+00,4.934068590172015212e-03
1.680000000000000160e+00,5.020944061166835760e-03
1.690000000000000169e+00,5.109198126924875683e-03
1.700000000000000178e+00,5.198849770199830307e-03
1.710000000000000187e+00,5.289918182890168512e-03
1.720000000000000195e+00,5.382422767445895449e-03
1.730000000000000204e+00,5.476383138269320938e-03
1.740000000000000213e+00,5.571819123109341722e-03
1.750000000000000000e+00,5.668750764448961775e-03
1.760000000000000009e+00,5.767198320885577080e-03
1.770000000000000018e+00,5.867182268503811499e-03
1.780000000000000027e+00,5.968723302240545522e-03
1.790000000000000036e+00,6.071842337241465694e-03
1.800000000000000266e+00,6.176560510209318580e-03
1.810000000000000275e+00,6.282899180742882242e-03
1.820000000000000284e+00,6.390879932666716778e-03
1.830000000000000293e+00,6.500524575351072920e-03
1.840000000000000080e+00,6.611855145021745296e-03
1.850000000000000089e+00,6.724893906059196437e-03
1.860000000000000098e+00,6.839663352286889930e-03
1.870000000000000107e+00,6.956186208248155319e-03
1.880000000000000115e+00,7.074485430471393922e-03
1.890000000000000124e+00,7.194584208722928226e-03
1.900000000000000133e+00,7.316505967247397685e-03
1.910000000000000142e+00,7.440274365995070381e-03
1.920000000000000373e+00,7.565913301835738326e-03
1.930000000000000160e+00,7.693446909758625690e-03
1.940000000000000169e+00,7.822899564058080971e-03
1.950000000000000178e+00,7.954295879504533553e-03
1.960000000000000409e+00,8.087660712500006899e-03
1.969999999999999973e+00,8.223019162218373965e-03
1.979999999999999982e+00,8.360396571729138832e-03
1.989999999999999991e+00,8.499818529104835596e-03
2.000000000000000000e+00,8.641310868511367996e-03
2.010000000000000231e+00,8.784899671280909858e-03
2.020000000000000018e+00,8.930611266966731465e-03
2.030000000000000249e+00,9.078472234379688158e-03
2.040000000000000036e+00,9.228509402605758818e-03
2.050000000000000266e+00,9.380749852004301170e-03
2.060000000000000053e+00,9.535220915186217241e-03
2.070000000000000284e+00,9.691950177971982161e-03
2.080000000000000071e+00,9.850965480328691473e-03
2.090000000000000302e+00,1.001229491728578176e-02
2.100000000000000089e+00,1.017596683982901866e-02
2.110000000000000320e+00,1.034200985577190049e-02
2.120000000000000551e+00,1.051045283060443071e-02
2.130000000000000338e+00,1.068132488831840393e-02
2.140000000000000124e+00,1.085465541220892796e-02
2.149999999999999911e+00,1.103047404565134226e-02
2.160000000000000142e+00,1.120881069285346518e-02
2.169999999999999929e+00,1.138969551958222276e-02
2.180000000000000160e+00,1.157315895386451694e-02
