z_mm,exact_fin_beer_lambert_rise_K,local_beer_lambert_rise_K,effective_hotspot_rise_K
0,456,456,0
0.0083402836,455.93254,453.16889,0
0.016680567,455.73498,450.35536,0
0.025020851,455.41429,447.55929,0
0.033361134,454.97712,444.78059,0
0.041701418,454.42977,442.01914,0
0.050041701,453.77826,439.27483,0
0.058381985,453.02833,436.54756,0
0.066722269,452.18542,433.83722,0
0.075062552,451.25471,431.14371,0
0.083402836,450.24115,428.46693,0
0.091743119,449.14944,425.80676,0
0.1000834,447.98405,423.1631,0
0.10842369,446.74924,420.53587,0
0.11676397,445.44906,417.92494,0
0.12510425,444.08736,415.33022,0
0.13344454,442.66781,412.75161,0
0.14178482,441.19391,410.18901,0
0.1501251,439.66897,407.64233,0
0.15846539,438.09615,405.11145,0
0.16680567,436.47846,402.59629,0
0.17514595,434.81876,400.09674,0
0.18348624,433.11976,397.61271,0
0.19182652,431.38406,395.1441,0
0.20016681,429.61411,392.69082,0
0.20850709,427.81225,390.25277,0
0.21684737,425.98071,387.82986,0
0.22518766,424.1216,385.42199,0
0.23352794,422.23693,383.02907,0
0.24186822,420.32861,380.651,0
0.25020851,418.39845,378.2877,0
0.25854879,416.44819,375.93908,0
0.26688907,414.47947,373.60503,0
0.27522936,412.49383,371.28548,0
0.28356964,410.49277,368.98032,0
0.29190992,408.47769,366.68948,0
0.30025021,406.44993,364.41286,0
0.30859049,404.41075,362.15038,0
0.31693078,402.36136,359.90194,0
0.32527106,400.3029,357.66747,0
0.33361134,398.23646,355.44686,0
0.34195163,396.16306,353.24004,0
0.35029191,394.08369,351.04693,0
0.35863219,391.99928,348.86743,0
0.36697248,389.91069,346.70146,0
0.37531276,387.81878,344.54894,0
0.38365304,385.72431,342.40978,0
0.39199333,383.62806,340.2839,0
0.40033361,381.53072,338.17123,0
0.40867389,379.43297,336.07167,0
0.41701418,377.33544,333.98514,0
0.42535446,375.23874,331.91157,0
0.43369475,373.14344,329.85087,0
